Name,Latitude,Longitude,Area,Population,Density,URL,Borders_URL
Куркино,55.889152,37.389994,7.9,34187,4327.47,http://mosopen.ru/region/kurkino,http://mosopen.ru/public/ymapsml.php?p=region/kurkino/map_xml
Левобережный,55.8655,37.468,8.0,54648,6831.0,http://mosopen.ru/region/levoberezhnyj,http://mosopen.ru/public/ymapsml.php?p=region/levoberezhnyj/map_xml
Лефортово,55.755,37.7,9.06,95070,10493.38,http://mosopen.ru/region/lefortovo,http://mosopen.ru/public/ymapsml.php?p=region/lefortovo/map_xml
Лианозово,55.898,37.571,5.79,85867,14830.22,http://mosopen.ru/region/lianozovo,http://mosopen.ru/public/ymapsml.php?p=region/lianozovo/map_xml
Ломоносовский,55.679278,37.533245,3.34,88031,26356.59,http://mosopen.ru/region/lomonosovskij,http://mosopen.ru/public/ymapsml.php?p=region/lomonosovskij/map_xml
Лосиноостровский,55.88,37.694,5.54,82937,14970.58,http://mosopen.ru/region/losinoostrovskij,http://mosopen.ru/public/ymapsml.php?p=region/losinoostrovskij/map_xml
Люблино,55.671,37.779,17.41,172409,9902.87,http://mosopen.ru/region/lyublino,http://mosopen.ru/public/ymapsml.php?p=region/lyublino/map_xml
Марфино,55.835541,37.578788,2.97,35488,11948.82,http://mosopen.ru/region/marfino,http://mosopen.ru/public/ymapsml.php?p=region/marfino/map_xml
Марьина Роща,55.798,37.613,4.68,67456,14413.68,http://mosopen.ru/region/marina_roshcha,http://mosopen.ru/public/ymapsml.php?p=region/marina_roshcha/map_xml
Марьино,55.6534,37.744,11.91,253774,21307.64,http://mosopen.ru/region/marino,http://mosopen.ru/public/ymapsml.php?p=region/marino/map_xml
Матушкино,56.003,37.204881,4.38,40822,9320.09,http://mosopen.ru/region/matushkino,http://mosopen.ru/public/ymapsml.php?p=region/matushkino/map_xml
Медведково Северное,55.889,37.654395,5.66,127718,22565.02,http://mosopen.ru/region/medvedkovo_severnoe,http://mosopen.ru/public/ymapsml.php?p=region/medvedkovo_severnoe/map_xml
Медведково Южное,55.874733,37.636414,3.88,85739,22097.68,http://mosopen.ru/region/medvedkovo_yuzhnoe,http://mosopen.ru/public/ymapsml.php?p=region/medvedkovo_yuzhnoe/map_xml
Метрогородок,55.844024,37.727892,27.57,38872,1409.94,http://mosopen.ru/region/metrogorodok,http://mosopen.ru/public/ymapsml.php?p=region/metrogorodok/map_xml
Мещанский,55.777563,37.627659,4.6,61037,13268.91,http://mosopen.ru/region/meshchanskij,http://mosopen.ru/public/ymapsml.php?p=region/meshchanskij/map_xml
Митино,55.847398,37.36639,12.67,195013,15391.71,http://mosopen.ru/region/mitino,http://mosopen.ru/public/ymapsml.php?p=region/mitino/map_xml
Можайский,55.715,37.416,10.73,139154,12968.69,http://mosopen.ru/region/mozhajskij,http://mosopen.ru/public/ymapsml.php?p=region/mozhajskij/map_xml
Молжаниновский,55.936678,37.378793,21.78,12208,560.51,http://mosopen.ru/region/molzhaninovskij,http://mosopen.ru/public/ymapsml.php?p=region/molzhaninovskij/map_xml
Москворечье-Сабурово,55.643,37.675,9.3,80983,8707.85,http://mosopen.ru/region/moskvoreche-saburovo,http://mosopen.ru/public/ymapsml.php?p=region/moskvoreche-saburovo/map_xml
Нагатино-Садовники,55.671,37.643,8.17,83462,10215.67,http://mosopen.ru/region/nagatino-sadovniki,http://mosopen.ru/public/ymapsml.php?p=region/nagatino-sadovniki/map_xml
Нагатинский Затон,55.68,37.68508,9.8,120586,12304.69,http://mosopen.ru/region/nagatinskij_zaton,http://mosopen.ru/public/ymapsml.php?p=region/nagatinskij_zaton/map_xml
Нагорный,55.671,37.615,5.42,81668,15067.9,http://mosopen.ru/region/nagornyj,http://mosopen.ru/public/ymapsml.php?p=region/nagornyj/map_xml
Некрасовка,55.684069,37.939224,5.58,84217,15092.65,http://mosopen.ru/region/nekrasovka,http://mosopen.ru/public/ymapsml.php?p=region/nekrasovka/map_xml
Нижегородский,55.732,37.723,7.57,45798,6049.93,http://mosopen.ru/region/nizhegorodskij,http://mosopen.ru/public/ymapsml.php?p=region/nizhegorodskij/map_xml
Ново-Переделкино,55.645243,37.351112,8.48,121561,14335.02,http://mosopen.ru/region/novo-peredelkino,http://mosopen.ru/public/ymapsml.php?p=region/novo-peredelkino/map_xml
Новогиреево,55.747381,37.802153,4.45,100107,22495.96,http://mosopen.ru/region/novogireevo,http://mosopen.ru/public/ymapsml.php?p=region/novogireevo/map_xml
Новокосино,55.738,37.862749,3.6,107839,29955.28,http://mosopen.ru/region/novokosino,http://mosopen.ru/public/ymapsml.php?p=region/novokosino/map_xml
Обручевский,55.658,37.52,6.11,87986,14400.33,http://mosopen.ru/region/obruchevskij,http://mosopen.ru/public/ymapsml.php?p=region/obruchevskij/map_xml
Орехово-Борисово Северное,55.619,37.701,7.67,131577,17154.76,http://mosopen.ru/region/orehovo-borisovo_severnoe,http://mosopen.ru/public/ymapsml.php?p=region/orehovo-borisovo_severnoe/map_xml
Орехово-Борисово Южное,55.604,37.735,6.94,147429,21243.37,http://mosopen.ru/region/orehovo-borisovo_yuzhnoe,http://mosopen.ru/public/ymapsml.php?p=region/orehovo-borisovo_yuzhnoe/map_xml
Останкинский,55.826106,37.623947,12.46,63611,5105.22,http://mosopen.ru/region/ostankinskij,http://mosopen.ru/public/ymapsml.php?p=region/ostankinskij/map_xml
Отрадное,55.861104,37.602253,10.18,185459,18217.98,http://mosopen.ru/region/otradnoe,http://mosopen.ru/public/ymapsml.php?p=region/otradnoe/map_xml
Очаково-Матвеевское,55.6945,37.44,17.54,130714,7452.34,http://mosopen.ru/region/ochakovo-matveevskoe,http://mosopen.ru/public/ymapsml.php?p=region/ochakovo-matveevskoe/map_xml
Перово,55.751028,37.76546,9.73,140865,14477.39,http://mosopen.ru/region/perovo,http://mosopen.ru/public/ymapsml.php?p=region/perovo/map_xml
Печатники,55.692,37.72,17.89,86313,4824.65,http://mosopen.ru/region/pechatniki,http://mosopen.ru/public/ymapsml.php?p=region/pechatniki/map_xml
Покровское-Стрешнево,55.824,37.4435,12.9,59389,4603.8,http://mosopen.ru/region/pokrovskoe-streshnevo,http://mosopen.ru/public/ymapsml.php?p=region/pokrovskoe-streshnevo/map_xml
Преображенское,55.797373,37.723103,5.61,91151,16247.95,http://mosopen.ru/region/preobrazhenskoe,http://mosopen.ru/public/ymapsml.php?p=region/preobrazhenskoe/map_xml
Пресненский,55.76,37.56114,11.7,127694,10914.02,http://mosopen.ru/region/presnenskij,http://mosopen.ru/public/ymapsml.php?p=region/presnenskij/map_xml
Проспект Вернадского,55.6778,37.49605,4.65,64431,13856.13,http://mosopen.ru/region/prospekt_vernadskogo,http://mosopen.ru/public/ymapsml.php?p=region/prospekt_vernadskogo/map_xml
Раменки,55.7041,37.515,18.54,142538,7688.13,http://mosopen.ru/region/ramenki,http://mosopen.ru/public/ymapsml.php?p=region/ramenki/map_xml
Ростокино,55.835928,37.653751,3.54,40108,11329.94,http://mosopen.ru/region/rostokino,http://mosopen.ru/public/ymapsml.php?p=region/rostokino/map_xml
Рязанский,55.723,37.77,6.49,110184,16977.5,http://mosopen.ru/region/ryazanskij,http://mosopen.ru/public/ymapsml.php?p=region/ryazanskij/map_xml
Савёлки,55.987616,37.239364,8.13,34683,4266.05,http://mosopen.ru/region/savelki,http://mosopen.ru/public/ymapsml.php?p=region/savelki/map_xml
Савёловский,55.799,37.571,2.7,59611,22078.15,http://mosopen.ru/region/savelovskij,http://mosopen.ru/public/ymapsml.php?p=region/savelovskij/map_xml
Свиблово,55.851035,37.648129,4.41,62899,14262.81,http://mosopen.ru/region/sviblovo,http://mosopen.ru/public/ymapsml.php?p=region/sviblovo/map_xml
Северный,55.931,37.545,10.29,38529,3744.31,http://mosopen.ru/region/severnyj,http://mosopen.ru/public/ymapsml.php?p=region/severnyj/map_xml
Силино,56.002,37.168625,10.4,40266,3871.73,http://mosopen.ru/region/silino,http://mosopen.ru/public/ymapsml.php?p=region/silino/map_xml
Сокол,55.803,37.505,3.72,60324,16216.13,http://mosopen.ru/region/sokol,http://mosopen.ru/public/ymapsml.php?p=region/sokol/map_xml
Соколиная Гора,55.772204,37.732222,7.84,92015,11736.61,http://mosopen.ru/region/sokolinaya_gora,http://mosopen.ru/public/ymapsml.php?p=region/sokolinaya_gora/map_xml
Сокольники,55.8,37.68,10.28,61245,5957.68,http://mosopen.ru/region/sokolniki,http://mosopen.ru/public/ymapsml.php?p=region/sokolniki/map_xml
Солнцево,55.652,37.4013,11.29,126958,11245.17,http://mosopen.ru/region/solncevo,http://mosopen.ru/public/ymapsml.php?p=region/solncevo/map_xml
Старое Крюково,55.981,37.199583,3.81,31406,8243.04,http://mosopen.ru/region/staroe_kryukovo,http://mosopen.ru/public/ymapsml.php?p=region/staroe_kryukovo/map_xml
Строгино,55.80104,37.409735,16.84,161048,9563.42,http://mosopen.ru/region/strogino,http://mosopen.ru/public/ymapsml.php?p=region/strogino/map_xml
Таганский,55.74,37.663708,8.01,122898,15343.07,http://mosopen.ru/region/taganskij,http://mosopen.ru/public/ymapsml.php?p=region/taganskij/map_xml
Тверской,55.77,37.61,7.27,77360,10640.99,http://mosopen.ru/region/tverskoj,http://mosopen.ru/public/ymapsml.php?p=region/tverskoj/map_xml
Текстильщики,55.708,37.7378,5.92,104921,17723.14,http://mosopen.ru/region/tekstilshchiki,http://mosopen.ru/public/ymapsml.php?p=region/tekstilshchiki/map_xml
Тёплый Стан,55.63,37.49,7.5,134073,17876.4,http://mosopen.ru/region/teplyj_stan,http://mosopen.ru/public/ymapsml.php?p=region/teplyj_stan/map_xml
Тимирязевский,55.823,37.557,10.43,83641,8019.27,http://mosopen.ru/region/timiryazevskij,http://mosopen.ru/public/ymapsml.php?p=region/timiryazevskij/map_xml
Тропарёво-Никулино,55.66,37.4735,11.27,123873,10991.39,http://mosopen.ru/region/troparevo-nikulino,http://mosopen.ru/public/ymapsml.php?p=region/troparevo-nikulino/map_xml
Тушино Северное,55.864,37.426043,9.4,165736,17631.49,http://mosopen.ru/region/tushino_severnoe,http://mosopen.ru/public/ymapsml.php?p=region/tushino_severnoe/map_xml
Тушино Южное,55.842,37.433,7.94,109684,13814.11,http://mosopen.ru/region/tushino_yuzhnoe,http://mosopen.ru/public/ymapsml.php?p=region/tushino_yuzhnoe/map_xml
Филёвский Парк,55.748,37.48,9.62,95106,9886.28,http://mosopen.ru/region/filevskij_park,http://mosopen.ru/public/ymapsml.php?p=region/filevskij_park/map_xml
Фили-Давыдково,55.725,37.4687,6.96,114953,16516.24,http://mosopen.ru/region/fili-davydkovo,http://mosopen.ru/public/ymapsml.php?p=region/fili-davydkovo/map_xml
Хамовники,55.732,37.58,10.08,108773,10790.97,http://mosopen.ru/region/hamovniki,http://mosopen.ru/public/ymapsml.php?p=region/hamovniki/map_xml
Ховрино,55.8682,37.488,5.73,88915,15517.45,http://mosopen.ru/region/hovrino,http://mosopen.ru/public/ymapsml.php?p=region/hovrino/map_xml
Хорошёво-Мнёвники,55.778,37.462,17.18,175123,10193.42,http://mosopen.ru/region/horoshevo-mnevniki,http://mosopen.ru/public/ymapsml.php?p=region/horoshevo-mnevniki/map_xml
Хорошёвский,55.781038,37.525306,9.88,72594,7347.57,http://mosopen.ru/region/horoshevskij,http://mosopen.ru/public/ymapsml.php?p=region/horoshevskij/map_xml
Царицыно,55.6257,37.656,8.43,128969,15298.81,http://mosopen.ru/region/caricyno,http://mosopen.ru/public/ymapsml.php?p=region/caricyno/map_xml
Черёмушки,55.6659,37.5605,5.52,110659,20046.92,http://mosopen.ru/region/cheremushki,http://mosopen.ru/public/ymapsml.php?p=region/cheremushki/map_xml
Чертаново Северное,55.631,37.603,5.4,114348,21175.56,http://mosopen.ru/region/chertanovo_severnoe,http://mosopen.ru/public/ymapsml.php?p=region/chertanovo_severnoe/map_xml
Чертаново Центральное,55.615073,37.601458,6.52,116913,17931.44,http://mosopen.ru/region/chertanovo_centralnoe,http://mosopen.ru/public/ymapsml.php?p=region/chertanovo_centralnoe/map_xml
Чертаново Южное,55.592,37.599,9.38,151601,16162.15,http://mosopen.ru/region/chertanovo_yuzhnoe,http://mosopen.ru/public/ymapsml.php?p=region/chertanovo_yuzhnoe/map_xml
Щукино,55.801,37.471,7.69,111207,14461.25,http://mosopen.ru/region/shchukino,http://mosopen.ru/public/ymapsml.php?p=region/shchukino/map_xml
Южнопортовый,55.715,37.675,4.53,74756,16502.43,http://mosopen.ru/region/yuzhnoportovyj,http://mosopen.ru/public/ymapsml.php?p=region/yuzhnoportovyj/map_xml
Якиманка,55.730832,37.61075,4.8,27754,5782.08,http://mosopen.ru/region/yakimanka,http://mosopen.ru/public/ymapsml.php?p=region/yakimanka/map_xml
Ярославский,55.86,37.6925,7.99,98134,12282.1,http://mosopen.ru/region/yaroslavskij,http://mosopen.ru/public/ymapsml.php?p=region/yaroslavskij/map_xml
Ясенево,55.615,37.544403,25.37,178089,7019.67,http://mosopen.ru/region/yasenevo,http://mosopen.ru/public/ymapsml.php?p=region/yasenevo/map_xml
